Time,BG,CGM,CHO,insulin,LBGI,HBGI,Risk
2018-01-09 02:50:00,145.9818074608689,141.81362185985728,0,[0.00610833],0.0,2.3652623214913024,2.3652623214913024
2018-01-09 02:51:00,145.9086174397491,140.1830715403858,0,[0.00610833],0.0,2.3561396557588763,2.3561396557588763
2018-01-09 02:52:00,145.83679812942663,140.1830715403858,0,[0.00609167],0.0,2.347200613149359,2.347200613149359
2018-01-09 02:53:00,145.76632808590492,140.1830715403858,0,[0.00609167],0.0,2.3384418256808144,2.3384418256808144
2018-01-09 02:54:00,145.6971869218279,138.49718795209654,0,[0.00609167],0.0,2.3298600826142892,2.3298600826142892
2018-01-09 02:55:00,145.62935535753525,138.49718795209654,0,[0.006075],0.0,2.321452335345179,2.321452335345179
2018-01-09 02:56:00,145.56281526095262,138.49718795209654,0,[0.006075],0.0,2.3132157009131795,2.3132157009131795
2018-01-09 02:57:00,145.49754967723587,136.73228635641019,0,[0.006075],0.0,2.3051474642588756,2.3051474642588756
2018-01-09 02:58:00,145.43354284901514,136.73228635641019,0,[0.00605],0.0,2.297245079344247,2.297245079344247
2018-01-09 02:59:00,145.37078022772872,136.73228635641019,0,[0.00605],0.0,2.28950616920858,2.28950616920858
2018-01-09 03:00:00,145.30924847750225,134.86477386440632,0,[0.00605],0.0,2.281928525148715,2.281928525148715
2018-01-09 03:01:00,145.24893547266907,134.86477386440632,0,[0.00601667],0.0,2.2745101051660868,2.2745101051660868
2018-01-09 03:02:00,145.18983028928557,134.86477386440632,0,[0.00601667],0.0,2.267249031729992,2.267249031729992
2018-01-09 03:03:00,145.13192319218666,132.9045820177619,0,[0.00601667],0.0,2.260143589051809,2.260143589051809
2018-01-09 03:04:00,145.07520561860946,132.9045820177619,0,[0.005975],0.0,2.2531922199996304,2.2531922199996304
2018-01-09 03:05:00,145.0196701583832,132.9045820177619,0,[0.005975],0.0,2.2463935226550436,2.2463935226550436
2018-01-09 03:06:00,144.9653105321719,130.99544852974532,0,[0.005975],0.0,2.2397462466958133,2.2397462466958133
2018-01-09 03:07:00,144.9121215686292,130.99544852974532,0,[0.00595833],0.0,2.2332492897096152,2.2332492897096152
2018-01-09 03:08:00,144.86009917974957,130.99544852974532,0,[0.00595833],0.0,2.226901693351448,2.226901693351448
2018-01-09 03:09:00,144.80924033435625,129.31463157220747,0,[0.00595833],0.0,2.220702639337394,2.220702639337394
2018-01-09 03:10:00,144.75954302969558,129.31463157220747,0,[0.00598333],0.0,2.2146514452711665,2.2146514452711665
2018-01-09 03:11:00,144.71100626039515,129.31463157220747,0,[0.00598333],0.0,2.2087475602137348,2.2087475602137348
2018-01-09 03:12:00,144.66362998334463,128.03947686470596,0,[0.00598333],0.0,2.202990559821481,2.202990559821481
2018-01-09 03:13:00,144.61741507785777,128.03947686470596,0,[0.006075],0.0,2.19738014097657,2.19738014097657
2018-01-09 03:14:00,144.57236330099045,128.03947686470596,0,[0.006075],0.0,2.191916115896922,2.191916115896922
2018-01-09 03:15:00,144.52847723485354,127.34741049790989,0,[0.006075],0.0,2.186598405344093,2.186598405344093
2018-01-09 03:16:00,144.48576022466182,127.34741049790989,0,[0.006225],0.0,2.1814270307809966,2.1814270307809966
2018-01-09 03:17:00,144.44421630906325,127.34741049790989,0,[0.006225],0.0,2.176402105670057,2.176402105670057
2018-01-09 03:18:00,144.4038501391186,127.41592885700753,0,[0.006225],0.0,2.1715238254753735,2.1715238254753735
2018-01-09 03:19:00,144.36466688482943,127.41592885700753,0,[0.00644167],0.0,2.1667924562405076,2.1667924562405076
2018-01-09 03:20:00,144.32667213253202,127.41592885700753,0,[0.00644167],0.0,2.1622083221452226,2.1622083221452226
2018-01-09 03:21:00,144.2898717687093,128.42258334952106,0,[0.00644167],0.0,2.1577717915063825,2.1577717915063825
2018-01-09 03:22:00,144.25427184906673,128.42258334952106,0,[0.00671667],0.0,2.153483261085957,2.153483261085957
2018-01-09 03:23:00,144.2198784581765,128.42258334952106,0,[0.00671667],0.0,2.149343139347027,2.149343139347027
2018-01-09 03:24:00,144.1866975549172,130.54495774169465,0,[0.00671667],0.0,2.1453518280808135,2.1453518280808135
2018-01-09 03:25:00,144.15473480272414,130.54495774169465,0,[0.00705],0.0,2.1415097022859784,2.1415097022859784
2018-01-09 03:26:00,144.12399539172733,130.54495774169465,0,[0.00705],0.0,2.137817089148092,2.137817089148092
2018-01-09 03:27:00,144.094483847412,133.9606367181506,0,[0.00705],0.0,2.134274245468764,2.134274245468764
2018-01-09 03:28:00,144.06620382476078,133.9606367181506,0,[0.00745],0.0,2.1308813334145245,2.1308813334145245
2018-01-09 03:29:00,144.03915789645666,133.9606367181506,0,[0.00745],0.0,2.1276383956078293,2.1276383956078293
2018-01-09 03:30:00,144.01334732865487,138.8471652963028,0,[0.00745],0.0,2.1245453287714686,2.1245453287714686
2018-01-09 03:31:00,143.98877184290308,138.8471652963028,0,[0.00791667],0.0,2.121601855747378,2.121601855747378
2018-01-09 03:32:00,143.9654293743685,138.8471652963028,0,[0.00791667],0.0,2.1188074970961073,2.1188074970961073
2018-01-09 03:33:00,143.94331581886314,142.94463763656742,0,[0.00791667],0.0,2.1161615413648054,2.1161615413648054
2018-01-09 03:34:00,143.9224247669872,142.94463763656742,0,[0.00816667],0.0,2.1136630138105144,2.1136630138105144
2018-01-09 03:35:00,143.90274723974667,142.94463763656742,0,[0.00816667],0.0,2.1113106452838433,2.1113106452838433
2018-01-09 03:36:00,143.88427142956766,144.89450896307505,0,[0.00816667],0.0,2.109102841724274,2.109102841724274
2018-01-09 03:37:00,143.86698245096082,144.89450896307505,0,[0.00776667],0.0,2.10703765475843,2.10703765475843
2018-01-09 03:38:00,143.85086211634862,144.89450896307505,0,[0.00776667],0.0,2.1051127552365942,2.1051127552365942
